source,name,category,average_rating,price_range,latitude,longitude,description
OpenStreetMap,Casa Verde,restaurant,,,10.3282766,123.9059665,
OpenStreetMap,Sbarro,restaurant,,,10.3093642,123.8939294,
OpenStreetMap,Kelli Óle Kaffee,cafe,,,10.3173387,123.8853542,
OpenStreetMap,Around The World Pizza,restaurant,,,10.3263314,123.8982279,
OpenStreetMap,The Coffee Shop,cafe,,,10.3103946,123.894383,
OpenStreetMap,Yum Saeb Deli Resto Bar,restaurant,,,10.3105776,123.8943039,
OpenStreetMap,Coffee Prince,cafe,,,10.3136681,123.8916304,
OpenStreetMap,Oslo Bora,restaurant,,,10.3163783,123.8876588,
OpenStreetMap,Pancake House,restaurant,,,10.3191584,123.9048932,
OpenStreetMap,Jo's Chicken Inato,restaurant,,,10.3070553,123.8972447,
OpenStreetMap,Moonleaf,cafe,,,10.3070791,123.8973252,
OpenStreetMap,Miguel Lopez de Legazpi Monument,memorial,,,10.2933951,123.9051478,
OpenStreetMap,Hope Pension House,guest_house,,,10.2965857,123.9003739,
OpenStreetMap,Yakimix,restaurant,,,10.3169574,123.8938594,
OpenStreetMap,Kombini Cafe,cafe,,,10.317299,123.8931018,
OpenStreetMap,Portal,restaurant,,,10.3145736,123.9053519,
OpenStreetMap,Laguna Garden Cafe,restaurant,,,10.3188122,123.905722,
OpenStreetMap,Max's Restaurant,restaurant,,,10.3195419,123.904806,
OpenStreetMap,Karne Grill De Balamban,restaurant,,,10.5036542,123.7212589,
OpenStreetMap,Red Box,restaurant,,,10.3192996,123.9048776,
OpenStreetMap,Teriyaki Boy,restaurant,,,10.3192785,123.9046711,
OpenStreetMap,Figaro,cafe,,,10.318281,123.9054114,
OpenStreetMap,Lemon Grass,restaurant,,,10.3179643,123.9057453,
OpenStreetMap,Gerry's Grill,restaurant,,,10.3190753,123.9047006,
OpenStreetMap,Bigby's Restaurant,restaurant,,,10.3179274,123.9060014,
OpenStreetMap,Italiannis,restaurant,,,10.3184051,123.9060497,
OpenStreetMap,P.H.A.T. Pho,restaurant,,,10.3190727,123.9053899,
OpenStreetMap,Asiana Pension Inn,guest_house,,,10.3289324,123.9214438,
OpenStreetMap,Shabu-Way,restaurant,,,10.318277,123.9061043,
OpenStreetMap,The Social,restaurant,,,10.3175105,123.906099,
OpenStreetMap,Mother's Fried Chicken,restaurant,,,10.318219,123.9043823,
OpenStreetMap,Oh Georg!,restaurant,,,10.3175962,123.9046666,
OpenStreetMap,Flame It!,restaurant,,,10.3179287,123.90571,
OpenStreetMap,30 Kitchen + Bar,restaurant,,,10.3245324,123.9089419,
OpenStreetMap,Seoul,restaurant,,,10.3185259,123.9050833,
OpenStreetMap,Army Navy,restaurant,,,10.3186446,123.9050605,
OpenStreetMap,Abaca,restaurant,,,10.3179796,123.9058974,
OpenStreetMap,Siam Thai Cuisine,restaurant,,,10.3185496,123.9059765,
OpenStreetMap,Tonkatsu,restaurant,,,10.318481,123.9060516,
OpenStreetMap,Moon Cafe,restaurant,,,10.3183952,123.9061093,
OpenStreetMap,Elegant Circle Inn,hotel,,,10.3108152,123.8933908,
OpenStreetMap,TMS Lodge,guest_house,,,10.2971012,123.8959739,
OpenStreetMap,Done Rial Lodge,guest_house,,,10.2959518,123.8961319,
OpenStreetMap,Country Basket,cafe,,,10.3301143,123.897555,
OpenStreetMap,Cafe Rolly,cafe,,,10.2960199,123.8949424,
OpenStreetMap,Best Inn,hotel,,,10.2956585,123.898129,
OpenStreetMap,YSL Lodge,hotel,,,10.2959356,123.8995586,
OpenStreetMap,BSM Hotel,hotel,,,10.2852634,123.9692664,
OpenStreetMap,Cadi Shack Diner,restaurant,,,10.3237519,123.9135898,
OpenStreetMap,R's Food Avenue,restaurant,,,10.32381,123.9126779,
